filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028078-1.nii.gz,LPS,2,False,89,89,515.7955,515.7955,extended,extended
20251028080-1.nii.gz,LAS,2,False,100,100,500.0,500.0,extended,extended
20251028081-1.nii.gz,LPS,2,False,96,96,480.0,480.0,extended,extended
20251028082-1.nii.gz,LPS,2,False,116,116,580.0,580.0,extended,extended
20251028087-1.nii.gz,LPI,2,False,112,112,560.00006,560.00006,extended,extended
20251028088-1.nii.gz,LIP,1,True,48,512,240.0,509.40314,abdomen-only,extended
20251028089-1.nii.gz,LPI,2,False,103,103,515.0,515.0,extended,extended
20251028090-1.nii.gz,LPI,2,False,110,110,550.0,550.0,extended,extended
20251028091-1.nii.gz,LPS,2,False,97,97,485.0,485.0,extended,extended
20251028094-1.nii.gz,LAS,2,False,93,93,465.0,465.0,extended,extended
20251028095-1.nii.gz,LIP,1,True,45,790,225.0,631.8006,abdomen-only,extended
20251028096-1.nii.gz,LAS,2,False,120,120,600.0,600.0,extended,extended
20251028097-1.nii.gz,LPS,2,False,86,86,430.0,430.0,extended,extended
20251028098-1.nii.gz,LIP,1,True,51,692,255.0,484.4,abdomen-only,extended
20251028099-1.nii.gz,LPI,2,False,107,107,535.0,535.0,extended,extended
20251028101-1.nii.gz,LIP,1,True,52,512,260.0,529.3641,abdomen-only,extended
20251028102-1.nii.gz,LAS,2,False,43,43,215.0,215.0,abdomen-only,abdomen-only
20251028103-1.nii.gz,LPS,2,False,112,112,560.0,560.0,extended,extended
20251028106-1.nii.gz,LPS,2,False,111,111,555.0,555.0,extended,extended
20251028107-1.nii.gz,LPS,2,False,103,103,515.0,515.0,extended,extended
20251028109-1.nii.gz,LIP,1,True,40,744,200.0,499.09998,abdomen-only,extended
20251028110-1.nii.gz,LPS,2,False,92,92,460.0,460.0,extended,extended
20251028111-1.nii.gz,LIP,1,True,44,512,220.0,499.02344,abdomen-only,extended
20251028112-1.nii.gz,LPS,2,False,91,91,455.0,455.0,extended,extended
20251028113-1.nii.gz,LPS,2,False,74,74,370.0,370.0,abdomen-only,abdomen-only
20251028114-1.nii.gz,LIP,1,True,35,686,175.0,449.4,abdomen-only,extended
20251028115-1.nii.gz,LIP,1,True,58,806,290.0,565.50055,abdomen-only,extended
